"Example Description","Cleaned Description","Number of Candidates","Total Votes Recieved","Contested Electorate","Votes Cast in Contested Constitiencies","Percatage of Total Electorate","Percatage of Votes"
"The Speaker seeking re-election","speakerseekingreelection",1,34617,77572,53692,44.63,64.47
"Scottish National Party (SNP)","nationalpartysnp",59,1454436,4094784,2910465,35.46,50.16
"Welsh Conservative Party Candidate","conservativeparty",647,11299969,46209246,30552696,24.08,35.79
"Welsh Labour/Llafur Cymru","labourparty",631,9347304,45111221,29926050,20.87,32.35
"Democratic Unionist Party - D.U.P.","democraticunionistpartyd.u.p.",16,184260,1088955,617362,16.90,29.87
"Sinn Féin","sinnféin",18,176232,1236683,718103,14.10,23.63
"People Before Profit Alliance","peoplebeforeprofitalliance",1,6798,62685,35329,10.84,19.24
"Ulster Unionist Party","ulsterunionistparty",15,114935,1040770,601881,10.85,18.11
"Independent Community and Health Concern","independentcommunityandhealthconcern",1,7211,77451,49440,9.31,14.59
"SDLP (Social Democratic & Labour Party)","sdlpsocialdemocraticandlabourparty",18,99809,1236683,718103,7.88,13.73
"UK Independence Party (UKIP)","ukindependenceparty",624,3878068,44681335,29528054,8.69,13.34
"Plaid Cymru - The Party of Wales","plaidcymrupartyofwales",40,181704,2282297,1498063,8.39,12.79
"Respect (George Galloway)","respectgeorgegalloway",2,9022,133832,84043,7.08,11.15
"Alliance Party","allianceparty",11,44335,745333,434355,6.14,10.45
"Independent save Withybush Save Lives","independentsavewithybushsavelives",1,3729,57291,40556,6.51,9.19
"Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru","liberaldemocrats",631,2418893,45111221,29926050,5.35,7.83
"Alliance","alliance",7,17221,491350,283748,3.61,6.48
"Traditional Unionist Voice - TUV","traditionalunionistvoicetuv",7,16538,473571,262515,3.38,6.12
"Annibynnol-Independent","annibynnolindependent",1,1388,44395,28913,3.13,4.80
"Green Party/Plaid Werdd","greenparty",573,1157613,41023812,27157251,2.77,4.18
"Poole People - independent and local","poolepeople",1,1766,72557,47393,2.43,3.73
"Rochdale First Party","rochdalefirstparty",1,1535,79170,45430,1.94,3.38
"Residents for Uttlesford","residentsforuttlesford",1,1658,80615,57563,2.06,2.88
"The Liberal Party","liberalparty",3,3815,213847,140471,1.85,2.83
"The Southport Party","southportparty",1,992,67328,44101,1.47,2.25
"National Health Action Party","nationalhealthactionparty",11,12999,828465,579289,1.58,2.22
"Your Vote Could Save Our Hospital","yourvotecouldsaveourhospital",1,849,69516,39490,1.22,2.15
"Bournemouth Independent Alliance","bournemouthindependentalliance",1,903,71956,44827,1.25,2.01
"Mebyon Kernow - The Party for Cornwall","mebyonkernowpartyforcornwall",6,5675,420985,294828,1.32,1.92
"Lincolnshire Independents","lincolnshireindependents",5,5407,390952,262148,1.30,1.90
"Wigan Independents","wiganindependents",1,768,76068,45293,1.01,1.70
"Independent","independent",137,95226,9882195,6581199,0.98,1.54
"Walsall Socialist and Trade Union Candidate","walsallsocialistandtradeunion",1,545,67080,36883,0.81,1.48
"Independent/Annibynnol","independent/annibynnol",1,459,61719,32715,0.74,1.40
"The North East Party","norastparty",4,2138,259893,160005,0.83,1.39
"The Workers Party","workersparty",5,2724,344032,203020,0.80,1.37
"Socialist Labour Party/Plaid Lafur Sosialaidd","socialistlabourparty",8,3481,427178,272713,0.81,1.28
"Yorkshire First","yorkshirefirst",6,3332,430384,259884,0.76,1.27
"Liberal Party Candidate And Local Resident","liberalpartyandlocalresident",1,665,78580,53817,0.85,1.24
"Locally Informed Health and Social Care","locallyinformedhealthandsocialcare",1,637,73724,52302,0.86,1.22
